Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
400087,5/13/2012,in Ordnung,nein,ja,8, , ,Blaumeise, ,Weibchen beringt
400186,5/13/2012,in Ordnung,nein,nein, , , , , ,Hornisse/Wespe
400088,5/13/2012,in Ordnung,nein,ja,7, , ,Meise unbestimmt, ,
400071,5/13/2012,in Ordnung,nein,ja,0,5,2,Meise unbestimmt,0,
400086,5/13/2012,in Ordnung,nein,ja,0,5,4,Meise unbestimmt,0,
400083,5/13/2012,in Ordnung,nein,nein, , , , , ,
400187,5/13/2012,in Ordnung,nein,ja,3,7,1,Blaumeise,0,Weibchen beringt
400059,5/13/2012,in Ordnung,nein,ja,4,4,1,Blaumeise,0,Weibchen beringt
400084,5/13/2012,in Ordnung,nein,ja,0,6,8,Kohlmeise,6,
400188,5/13/2012,in Ordnung,nein,ja,0,8,14,Sumpfmeise,8,ausgeflogen
400189,5/13/2012,in Ordnung,nein,ja,1,9,5,Blaumeise,9,
400190,5/13/2012,in Ordnung,nein,ja,0,8,5,Kohlmeise,8,
400191,5/13/2012,in Ordnung,nein,ja,1,10,12,Blaumeise,10,
400192,5/13/2012,in Ordnung,nein,ja,6, , ,Feldsperling, ,
400193,5/13/2012,in Ordnung,nein,ja,0,4,1,Feldsperling,0,
400194,5/13/2012,in Ordnung,nein,ja,0,6,5,Feldsperling,6,
400195,5/13/2012,in Ordnung,nein,ja,0,10,5,Blaumeise,10,
400078,5/13/2012,in Ordnung,nein,nein, , , , , ,
400096,5/14/2012,in Ordnung,nein,ja,0,5,10,Feldsperling,5,
400097,5/14/2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400099,5/14/2012,in Ordnung,nein,ja,0,0, ,Blaumeise, ,Weibchen tot auf Nest
400100,5/14/2012,in Ordnung,nein,ja,2,2,1,Feldsperling,0,
400113,5/14/2012,in Ordnung,nein,nein, , , , , ,
400196,5/14/2012,in Ordnung,nein,ja,0,8,10,Kohlmeise,8,
900028,5/14/2012,in Ordnung,nein,ja,2,3,1,Kohlmeise,0,Weibchen beringt
900029,5/14/2012,leicht defekt,nein,nein, , , , , ,
900030,5/14/2012,in Ordnung,nein,ja,0,12,2,Blaumeise,0,
900031,5/14/2012,in Ordnung,nein,ja,0,6,1,Tannenmeise,0,
900032,5/14/2012,leicht defekt,nein,nein, , , , , ,
900033,5/14/2012,in Ordnung,nein,ja,0,8,3,Kohlmeise,0,
900034,5/14/2012,in Ordnung,nein,nein, , , , , ,
900035,5/14/2012,leicht defekt,nein,ja,0,9,5,Kohlmeise,9,
900036,5/14/2012,in Ordnung,nein,nein, , , , , ,
900037,5/14/2012,in Ordnung,nein,ja,0,5,2,Kohlmeise,0,
900038,5/14/2012,leicht defekt,nein,ja,5,0, ,Kohlmeise, ,
900039,5/14/2012,in Ordnung,nein,ja,0,10,3,Blaumeise,0,
900040,5/14/2012,in Ordnung,nein,ja,5,1,1,Kohlmeise,0,Weibchen beringt
900041,5/14/2012,in Ordnung,nein,ja,5,0, ,Trauerschnäpper, ,Weibchen beringt
900042,5/14/2012,in Ordnung,nein,ja,2,4,1,Kohlmeise,0,
900043,5/14/2012,in Ordnung,nein,ja,7,0, ,Kohlmeise, ,
900044,5/14/2012,in Ordnung,nein,nein, , , , , ,vorjährig Hornisse
900045,5/14/2012,in Ordnung,nein,ja,0,8,1,Blaumeise,0,
900046,5/14/2012,in Ordnung,nein,nein, , , , , ,
900047,5/14/2012,in Ordnung,nein,unbekannt, , , , , ,nicht kontrolliert -> zu hoch
900048,5/14/2012,in Ordnung,nein,ja,5,0, ,Trauerschnäpper,0,Weibchen beringt
900049,5/14/2012,in Ordnung,nein,ja,0,5,10,Star,5,
900050,5/14/2012,in Ordnung,nein,nein, , , , , ,
900051,5/14/2012,in Ordnung,nein,nein, , , , , ,
900052,5/14/2012,in Ordnung,nein,ja,0,10,1,Blaumeise,0,
900053,5/14/2012,in Ordnung,nein,ja,3,5,1,Kohlmeise,0,Weibchen beringt
900054,5/14/2012,in Ordnung,nein,ja,0,8,3,Kohlmeise,0,
900055,5/14/2012,in Ordnung,nein,nein, , , , , ,
900056,5/14/2012,in Ordnung,nein,ja,0,7,5,Kohlmeise,0,
900057,5/14/2012,in Ordnung,nein,nein, , , , , ,
900058,5/14/2012,leicht defekt,nein,ja,0,5,4,Kohlmeise,0,
900059,5/14/2012,in Ordnung,nein,ja,0,3,2,Kleiber,0,Weibchen beringt
900060,5/14/2012,in Ordnung,nein,ja,0,6,2,unbestimmt,0,
