Nistkasten-nummer,Nummer-fremd,Ort,Ort detailliert,UTM-Hoch,UTM-Rechts,Aufhäng-Datum,Eigentümer,Material,Loch,Bemerkungen,Daten aktualisiert
900001,,Bergstrup,NABU-Biotop Beobachtungshütte,5845536,452444,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900002,,Bergstrup,NABU-Biotop Beobachtungshütte,5845493,452513,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900003,,Bergstrup,NABU-Biotop Beobachtungshütte,5845534,452440,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900004,,Bergstrup,NABU-Biotop Beobachtungshütte,5845531,452454,1/1/1999,NABU Vechta,Holzbeton,Sonstiges,Mehlschwalbe,
900005,,Bergstrup,NABU-Biotop Beobachtungshütte,5845526,452449,1/1/1999,NABU Vechta,Holzbeton,Sonstiges,Mehlschwalbe,
900006,,Bergstrup,NABU-Biotop Beobachtungshütte,5845521,452455,1/1/1999,NABU Vechta,Holzbeton,Sonstiges,Mehlschwalbe,
900007,,Bergstrup,NABU-Biotop Beobachtungshütte,5845519,452460,1/1/1999,NABU Vechta,Holzbeton,Sonstiges,Mehlschwalbe,
900008,,Bergstrup,NABU-Biotop Beobachtungshütte,5845521,452453,1/1/1999,NABU Vechta,Holzbeton,Sonstiges,Mehlschwalbe,
900009,,Bergstrup,NABU-Biotop Beobachtungshütte,5845521,452453,1/1/1999,NABU Vechta,Holzbeton,Sonstiges,Mehlschwalbe,
900010,,Bergstrup,NABU-Biotop Beobachtungshütte,5845526,452457,1/1/1999,NABU Vechta,Holzbeton,Sonstiges,Mehlschwalbe,
900011,,Bergstrup,NABU-Biotop Beobachtungshütte,5845525,452458,1/1/1999,NABU Vechta,Holzbeton,Sonstiges,Mehlschwalbe,
900012,,Bergstrup,NABU-Biotop Teich,5845515,452474,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900013,,Bergstrup,NABU-Biotop Teich,5845506,452490,1/1/1999,NABU Vechta,Holz beschichtet,Halbhöhle,,
900014,,Bergstrup,NABU-Biotop Teich,5845513,452521,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900015,,Bergstrup,NABU-Biotop Teich,5845508,452526,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900016,,Bergstrup,NABU-Biotop Teich,5845531,452403,1/1/1999,NABU Vechta,Holz beschichtet,Sonstiges,Baumläufer,
900017,15,Bergstrup,NABU-Biotop Streuobstwiese,5845483,452382,1/1/1999,NABU Vechta,Holz unbeschichtet,groß,,
900018,19,Bergstrup,NABU-Biotop Streuobstwiese,5845510,452396,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,zwei oval,
900019,,Bergstrup,NABU-Biotop Streuobstwiese,5845491,452409,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900020,,Bergstrup,NABU-Biotop Streuobstwiese,5845478,452398,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900021,,Bergstrup,NABU-Biotop Streuobstwiese,5845453,452421,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900022,,Bergstrup,NABU-Biotop Streuobstwiese,5845463,452425,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900023,,Bergstrup,NABU-Biotop Wald,5845418,452365,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900024,,Bergstrup,NABU-Biotop Wald,5845414,452374,1/1/1999,NABU Vechta,Holz beschichtet,Halbhöhle,,
900025,,Bergstrup,NABU-Biotop Wald,5845409,452369,1/1/1999,NABU Vechta,Holz beschichtet,mittel,,
900026,,Holzhausen,Thesings Kreuz,5844521,453733,1/1/1999,unbekannt,Holz unbeschichtet,groß,,
900027,,Holzhausen,Thesings Kreuz,5844536,453762,1/1/1999,unbekannt,Holz beschichtet,mittel,,
900028,31,Vechta,Füchteler Wald,5841880,453462,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
900029,30,Vechta,Füchteler Wald,5841869,453469,1/1/1999,NABU Vechta,Holz unbeschichtet,Halbhöhle,,
900030,29,Vechta,Füchteler Wald,5841829,453498,1/1/1999,NABU Vechta,Holz beschichtet,klein,,
900031,28,Vechta,Füchteler Wald,5841816,453514,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,oval,
900032,26,Vechta,Füchteler Wald,5841818,453527,1/1/1999,NABU Vechta,Holz unbeschichtet,Sonstiges,Baumläufer,
900033,27,Vechta,Füchteler Wald,5841798,453521,1/1/1999,NABU Vechta,Holz unbeschichtet,mittel,,
