Nistkasten-nummer,Nummer-fremd,Ort,Ort detailliert,UTM-Hoch,UTM-Rechts,Aufhäng-Datum,Eigentümer,Material,Loch,Bemerkungen,Daten aktualisiert
900151,,Stoppelmarkt,Nerkamp,5844361,451983,01-01-1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900152,,Stoppelmarkt,Nerkamp,5844368,451973,01-01-1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900153,,Langförden,NABU-Fledermaushotel,5848187,449654,01-01-1999,NABU Vechta,Holz unbeschichtet,klein,,
900154,,Langförden,NABU-Fledermaushotel,5848177,449657,01-01-1999,NABU Vechta,Holz beschichtet,groß,,
900155,,Langförden,NABU-Fledermaushotel,5848176,449660,01-01-1999,NABU Vechta,Holz beschichtet,groß,,
900156,,Langförden,NABU-Fledermaushotel,5848178,449660,01-01-1999,NABU Vechta,Holz unbeschichtet,Halbhöhle,,
900157,,Langförden,NABU-Fledermaushotel,5848178,449660,01-01-1999,NABU Vechta,Holz beschichtet,groß,,
900158,,Langförden,NABU-Fledermaushotel,5848178,449656,01-01-1999,NABU Vechta,Holz unbeschichtet,klein,,
900159,,Holtrup,Cobold,5847534,453318,01-01-1999,Daniel Cobold,Holz unbeschichtet,mittel,,
900160,,Holtrup,Cobold,5847547,453308,30-06-2012,Daniel Cobold,Holz unbeschichtet,mittel,,
900161,,Holtrup,Cobold,5847549,453292,30-06-2012,Daniel Cobold,Holzbeton,mittel,oval,
900162,,Holtrup,Cobold,5847567,453288,30-06-2012,Daniel Cobold,Holzbeton,mittel,oval,
900163,,Holtrup,Cobold,5847571,453289,30-06-2012,Daniel Cobold,Holz unbeschichtet,Halbhöhle,,
900164,,Holtrup,Cobold,5847589,453290,30-06-2012,Daniel Cobold,Holzbeton,mittel,,
900165,,Holtrup,Cobold,5847599,453310,30-06-2012,Daniel Cobold,Holz beschichtet,mittel,,
900166,,Holtrup,Cobold,5847608,453345,30-06-2012,Daniel Cobold,Holzbeton,mittel,oval,
900167,,Holtrup,Cobold,5847605,453328,30-06-2012,Daniel Cobold,Holzbeton,mittel,oval,
900168,,Langförden-Nord,Rieken,5849783,450007,01-01-1999,Wilhelm Rieken,Holz unbeschichtet,mittel,,
900169,,Langförden-Nord,Rieken,5849762,450021,01-01-1999,Wilhelm Rieken,Holz beschichtet,groß,,
900170,,Langförden-Nord,Rieken,5849754,450025,01-01-1999,Wilhelm Rieken,Holz beschichtet,mittel,,
900171,,Langförden-Nord,Rieken,5849762,450025,01-01-1999,Wilhelm Rieken,Holz unbeschichtet,mittel,,
900172,,Langförden-Nord,Rieken,5849763,450019,01-01-1999,Wilhelm Rieken,Holz beschichtet,mittel,,
900173,,Langförden-Nord,Rieken,5849769,450031,01-01-2013,Wilhelm Rieken,Holzbeton,mittel,,
900174,,Langförden-Nord,Rieken,5849750,450036,01-01-2013,Wilhelm Rieken,Holz beschichtet,groß,,
900175,,Langförden-Nord,Rieken,5849761,450002,01-01-2013,Wilhelm Rieken,Holz beschichtet,mittel,,
900176,,Langförden-Nord,Rieken,5849777,449998,01-01-2013,Wilhelm Rieken,Holz beschichtet,mittel,,
900177,,Stoppelmarkt,Nerkamp,5844368,451948,01-01-1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900178,,Stoppelmarkt,Nerkamp,5844362,451948,01-01-1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900179,,Stoppelmarkt,Nerkamp,5844362,451922,01-01-1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900180,,Stoppelmarkt,Nerkamp,5844377,451912,01-01-2013,Ludger Nerkamp,Holzbeton,mittel,oval,
900181,,Stoppelmarkt,Nerkamp,5844365,451937,01-01-2013,Ludger Nerkamp,Holzbeton,mittel,oval,
900182,,Stoppelmarkt,Nerkamp,5844366,451927,01-01-2013,Ludger Nerkamp,Holzbeton,mittel,oval,
900183,,Stoppelmarkt,Nerkamp,5844375,451910,01-01-2013,Ludger Nerkamp,Holzbeton,mittel,oval,
900184,,Stoppelmarkt,Nerkamp,,,01-01-1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900185,,Stoppelmarkt,Nerkamp,5844371,451939,01-01-2013,Ludger Nerkamp,Holz beschichtet,groß,,
900186,,Stoppelmarkt,Nerkamp,,,01-01-2013,Ludger Nerkamp,Holz beschichtet,Halbhöhle,,
900187,,Stoppelmarkt,Nerkamp,5844379,451915,01-01-1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900188,,Stoppelmarkt,Nerkamp,5844380,451935,01-01-2013,Ludger Nerkamp,Holz unbeschichtet,mittel,3er Spatzenhaus,
900189,,Stoppelmarkt,Nerkamp,5844380,451935,01-01-2013,Ludger Nerkamp,Holz unbeschichtet,mittel,3er Spatzenhaus,
900190,,Stoppelmarkt,Nerkamp,5844366,451912,01-01-1999,Ludger Nerkamp,Holz beschichtet,klein,,
900191,,Stoppelmarkt,Nerkamp,5844388,451967,01-01-2013,Ludger Nerkamp,Holz unbeschichtet,groß,,
900192,,Stoppelmarkt,Nerkamp,5844356,451974,01-01-2013,Ludger Nerkamp,Holz unbeschichtet,groß,,
900193,,Stoppelmarkt,Nerkamp,5844414,451986,01-01-1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900194,,Stoppelmarkt,Nerkamp,5844419,451952,01-01-1999,Ludger Nerkamp,Holz unbeschichtet,mittel,,
900195,,Stoppelmarkt,Nerkamp,5844418,451954,01-01-1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900196,,Stoppelmarkt,Nerkamp,5844405,451947,01-01-1999,Ludger Nerkamp,Holz beschichtet,mittel,,
900197,,Bergstrup,NABU-Biotop Streuobstwiese,5845488,452410,01-01-1999,NABU Vechta,Holz unbeschichtet,mittel,,
900198,,Bergstrup,NABU-Biotop Streuobstwiese,5845481,452399,01-01-1999,NABU Vechta,Holz unbeschichtet,mittel,,
900199,,Bergstrup,NABU-Biotop Streuobstwiese,5845453,452437,01-01-1999,NABU Vechta,Holz unbeschichtet,mittel,,
900200,,Bergstrup,NABU-Biotop Streuobstwiese,5845445,452430,01-01-1999,NABU Vechta,Holz beschichtet,Sonstiges,Steinkauzröhre,
900201,,Stoppelmarkt,Hof to Aite,5844358,453014,01-01-1999,unbekannt,Holz unbeschichtet,klein,,
900202,,Stoppelmarkt,Hof to Aite,5844364,453045,01-01-1999,unbekannt,Holz unbeschichtet,groß,,
900203,,Stoppelmarkt,Hof to Aite,5844340,453017,01-01-1999,unbekannt,Holz unbeschichtet,mittel,,
900204,,Stoppelmarkt,Hof to Aite,5844342,453019,01-01-1999,unbekannt,Holz unbeschichtet,groß,,
900205,,Stoppelmarkt,Hof to Aite,5844329,453023,01-01-1999,unbekannt,Holz unbeschichtet,klein,,
900206,,Stoppelmarkt,Hof to Aite,5844331,453016,01-01-1999,unbekannt,Holz unbeschichtet,groß,,
900207,,Holzhausen,Wilmering,5844607,454505,01-01-1999,Ursula Wilmering,Holz unbeschichtet,klein,Naturstamm,
900208,,Vechta,Kolleg St. Thomas,5842293,452734,23-05-2013,Kolleg St. Thomas,Holz beschichtet,klein,,
900209,,Vechta,Kolleg St. Thomas,5842322,452727,23-05-2013,Kolleg St. Thomas,Holz beschichtet,klein,,
900210,,Vechta,Kolleg St. Thomas,5842286,452793,23-05-2013,Kolleg St. Thomas,Holzbeton,mittel,oval,
900211,,Vechta,Kolleg St. Thomas,5842276,452822,23-05-2013,Kolleg St. Thomas,Holz beschichtet,klein,,
900212,,Vechta,Kolleg St. Thomas,5841960,452884,23-05-2013,Kolleg St. Thomas,Holz beschichtet,klein,,
900213,,Vechta,Kolleg St. Thomas,5842254,452907,23-05-2013,Kolleg St. Thomas,Holzbeton,mittel,oval,
900214,,Vechta,Kolleg St. Thomas,5841203,453354,01-01-2013,NABU Vechta,Holz beschichtet,mittel,,
900215,,Vechta,Darener Wald,5841546,448855,01-01-1999,Kreisjägerschaft Vechta,Holzbeton,mittel,,
900216,,Vechta,Oyther Straße,5843193,452817,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,Sonstiges,Baumläufer,
900217,,Vechta,Oyther Straße,5843194,452821,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,Sonstiges,Baumläufer,
900218,,Vechta,Landkreisgebäude,5842808,452419,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,Sonstiges,Baumläufer,
900219,,Vechta,Landkreisgebäude,5842736,452382,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,groß,,
900220,,Vechta,Landkreisgebäude,5842806,452373,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,groß,,
900221,,Vechta,Landkreisgebäude,5842831,452451,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,groß,,
900222,,Vechta,Landkreisgebäude,5842838,452408,04-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,groß,,
900223,,Vechta,Landkreisgebäude,5842821,452423,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,oval,
900224,,Vechta,Landkreisgebäude,5842794,452459,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,oval,
900225,,Vechta,Landkreisgebäude,5842731,452437,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,oval,
900226,,Vechta,Landkreisgebäude,5842830,452376,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,,
900227,,Vechta,Landkreisgebäude,5842753,452442,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,,
900228,,Vechta,Landkreisgebäude,5842756,452474,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,,
900229,,Vechta,Landkreisgebäude,5842736,452466,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,,
900230,,Vechta,Landkreisgebäude,5842798,452425,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,,
900231,,Vechta,Landkreisgebäude,5842782,452459,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,,
900232,,Vechta,Landkreisgebäude,5842745,452402,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,,
900233,,Vechta,Landkreisgebäude,5842778,452324,31-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel,,
900234,,Vechta,Landkreisgebäude,5842867,452423,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,klein,,
900235,,Vechta,Landkreisgebäude,5842806,452410,22-12-2013,Beringergemeinschaft Landkreis Vechta,Holzbeton,klein,,
