Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
400087,13-05-2012,in Ordnung,nein,ja,8, , ,Blaumeise, ,Weibchen beringt
400186,13-05-2012,in Ordnung,nein,nein, , , , , ,Hornisse/Wespe
400088,13-05-2012,in Ordnung,nein,ja,7, , ,Meise unbestimmt, ,
400071,13-05-2012,in Ordnung,nein,ja,0,5,2,Meise unbestimmt,0,
400086,13-05-2012,in Ordnung,nein,ja,0,5,4,Meise unbestimmt,0,
400083,13-05-2012,in Ordnung,nein,nein, , , , , ,
400187,13-05-2012,in Ordnung,nein,ja,3,7,1,Blaumeise,0,Weibchen beringt
400059,13-05-2012,in Ordnung,nein,ja,4,4,1,Blaumeise,0,Weibchen beringt
400084,13-05-2012,in Ordnung,nein,ja,0,6,8,Kohlmeise,6,
400188,13-05-2012,in Ordnung,nein,ja,0,8,14,Sumpfmeise,8,ausgeflogen
400189,13-05-2012,in Ordnung,nein,ja,1,9,5,Blaumeise,9,
400190,13-05-2012,in Ordnung,nein,ja,0,8,5,Kohlmeise,8,
400191,13-05-2012,in Ordnung,nein,ja,1,10,12,Blaumeise,10,
400192,13-05-2012,in Ordnung,nein,ja,6, , ,Feldsperling, ,
400193,13-05-2012,in Ordnung,nein,ja,0,4,1,Feldsperling,0,
400194,13-05-2012,in Ordnung,nein,ja,0,6,5,Feldsperling,6,
400195,13-05-2012,in Ordnung,nein,ja,0,10,5,Blaumeise,10,
400078,13-05-2012,in Ordnung,nein,nein, , , , , ,
400096,14-05-2012,in Ordnung,nein,ja,0,5,10,Feldsperling,5,
400097,14-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400099,14-05-2012,in Ordnung,nein,ja,0,0, ,Blaumeise, ,Weibchen tot auf Nest
400100,14-05-2012,in Ordnung,nein,ja,2,2,1,Feldsperling,0,
400113,14-05-2012,in Ordnung,nein,nein, , , , , ,
